id_client,anciennete_mois,facture_mensuelle,reclamations,resiliation
C0087,40,64.3,0,non
C0088,4,23.7,2,non
C0089,2,47.17,3,oui
C0090,6,47.12,1,oui
C0091,54,63.41,0,non
C0092,42,40.47,0,non
C0093,4,58.06,0,non
C0094,54,67.05,0,non
C0095,29,10.0,2,non
C0096,18,68.37,0,oui
C0097,26,25.29,0,non
C0098,44,23.12,1,non
C0099,34,10.0,1,oui
C0100,10,28.94,2,oui
C0101,36,44.9,2,oui
C0102,14,37.33,2,non
C0103,31,35.75,4,oui
C0104,48,22.75,2,non
C0105,15,62.34,2,oui
C0106,8,64.17,1,non
C0107,14,53.36,2,oui
C0108,23,10.0,2,non
C0109,60,90.47,0,non
C0110,57,47.94,0,non
C0111,40,55.79,1,non
C0112,21,15.03,0,non
C0113,16,44.77,1,oui
C0114,45,53.27,1,oui
C0115,18,42.18,1,non
C0116,47,62.44,1,non
C0117,53,71.01,1,oui
C0118,24,18.13,3,oui
C0119,26,62.0,0,non
C0120,25,52.89,1,non
C0121,60,44.91,1,non
C0122,60,13.58,1,non
C0123,60,74.6,2,non
C0124,45,52.94,1,non
C0125,41,10.0,0,non
C0126,29,40.14,2,non
C0127,15,51.54,0,oui
C0128,45,55.13,1,non
C0129,1,42.45,1,oui
C0130,25,51.83,3,oui
C0131,7,87.38,0,oui
C0132,9,75.93,2,oui
C0133,24,26.01,0,non
C0134,1,33.06,0,non
C0135,44,42.78,0,non
C0136,8,10.02,3,oui
C0137,24,18.17,2,non
C0138,11,12.57,0,non
C0139,51,22.05,1,non
C0140,17,72.79,2,non
C0141,8,27.9,1,non
C0142,35,24.46,1,oui
C0143,35,62.66,1,non
C0144,33,36.01,1,non
C0145,59,53.37,2,non
C0146,5,30.44,1,oui
C0147,42,10.0,2,non
C0148,39,54.35,0,non
C0149,58,13.97,1,non
C0150,41,34.79,1,non
C0151,28,30.34,0,non
C0152,7,48.91,1,oui
C0153,9,33.88,1,non
C0154,8,42.45,1,non
C0155,12,13.79,1,non
C0156,34,85.01,0,non
C0157,33,21.0,5,oui
C0158,48,69.03,3,oui
C0159,55,48.0,2,non
C0160,23,47.82,1,non
C0161,24,52.09,2,oui
C0162,37,10.0,2,non
C0163,35,64.33,1,oui
C0164,44,34.78,2,non
C0165,40,69.21,1,non
C0166,22,41.98,1,non
C0167,27,37.51,1,non
C0168,35,19.18,1,non
C0169,1,29.69,0,non
C0170,35,53.45,0,non
C0171,37,18.84,0,non
C0172,47,10.0,1,non
C0173,14,27.85,1,non
C0174,3,61.8,2,oui
C0175,1,80.63,2,oui
C0176,5,31.45,2,non
C0177,26,14.02,0,non
C0178,55,38.14,5,oui
C0179,14,48.68,0,non
C0180,39,56.56,2,non
C0181,27,87.69,2,oui
C0182,9,49.54,3,oui
C0183,15,78.11,1,oui
C0184,15,35.74,1,non
C0185,26,46.73,1,non
C0186,42,33.14,0,non
C0187,60,31.4,1,non
C0188,13,39.73,1,oui
C0189,51,39.39,1,non
C0190,32,32.92,3,oui
C0191,39,34.01,4,oui
C0192,49,66.94,0,non
C0193,52,87.26,2,oui
C0194,32,35.03,0,non
C0195,4,38.51,1,oui
C0196,30,55.49,1,non
C0197,37,108.74,1,non
C0198,23,46.68,1,non
C0199,39,64.45,1,non
C0200,45,75.89,2,non
